Date|Distance|Made|High|High-Right|Right|Low-Right|Low|Low-Left|Left|High-Left|Chain Out|Foot Fault
2024-02-01|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-01|4|8|0|0|0|0|0|0|0|0|0|0
2024-02-01|6|6|0|0|0|0|1|0|1|0|0|0
2024-02-01|8|3|0|0|0|0|2|0|2|1|0|0
2024-02-01|10|2|0|0|0|0|3|0|2|1|0|0
2024-02-02 00:00:00|2|7|1|0|0|0|0|0|0|0|0|0
2024-02-02 00:00:00|4|6|0|1|0|0|0|0|0|0|1|0
2024-02-02 00:00:00|6|6|0|0|0|0|0|0|1|1|0|0
2024-02-02 00:00:00|8|1|1|0|1|0|1|1|2|1|0|0
2024-02-02 00:00:00|10|3|1|0|0|0|1|2|0|1|0|0
2024-02-05 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-05 00:00:00|4|7|1|0|0|0|0|0|0|0|0|0
2024-02-05 00:00:00|6|3|0|0|0|0|2|0|2|0|1|0
2024-02-05 00:00:00|8|3|1|0|0|0|1|0|3|0|0|0
2024-02-05 00:00:00|10|1|0|0|0|0|3|0|4|0|0|0
2024-02-06 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-06 00:00:00|4|6|1|0|0|0|0|0|0|0|1|0
2024-02-06 00:00:00|6|3|1|2|0|0|1|0|0|0|1|0
2024-02-06 00:00:00|8|2|0|0|2|0|3|0|0|0|1|0
2024-02-06 00:00:00|10|0|2|0|0|0|4|0|2|0|0|0
2024-02-07 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-07 00:00:00|4|6|1|0|0|0|0|0|0|0|1|0
2024-02-07 00:00:00|6|4|0|0|1|0|3|0|0|0|0|0
2024-02-07 00:00:00|8|0|1|0|1|0|3|0|1|0|2|0
2024-02-07 00:00:00|10|0|0|0|0|1|3|0|2|2|0|0
2024-02-08 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-08 00:00:00|4|7|0|0|1|0|0|0|0|0|0|0
2024-02-08 00:00:00|6|3|0|0|1|0|1|0|0|0|3|0
2024-02-08 00:00:00|8|0|2|1|1|0|3|0|1|0|0|0
2024-02-08 00:00:00|10|0|1|2|0|0|1|1|3|0|0|0
2024-02-09 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-09 00:00:00|4|7|0|0|0|0|0|0|0|0|1|0
2024-02-09 00:00:00|6|5|0|0|1|0|1|0|1|0|0|0
2024-02-09 00:00:00|8|2|0|0|2|0|3|0|1|0|0|0
2024-02-09 00:00:00|10|1|0|1|1|0|2|2|1|0|0|0
2024-02-12 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-12 00:00:00|4|8|0|0|0|0|0|0|0|0|0|0
2024-02-12 00:00:00|6|4|0|0|0|0|2|0|1|0|1|0
2024-02-12 00:00:00|8|1|0|0|0|0|2|0|4|0|1|0
2024-02-12 00:00:00|10|0|0|0|0|1|2|1|2|1|1|0
2024-02-13 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-13 00:00:00|4|6|0|0|0|0|0|0|1|0|1|0
2024-02-13 00:00:00|6|7|0|0|0|0|1|0|0|0|0|0
2024-02-13 00:00:00|8|2|2|1|0|0|0|2|0|1|0|0
2024-02-13 00:00:00|10|2|1|0|0|1|0|2|2|0|0|0
2024-02-14 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-14 00:00:00|4|6|0|0|0|0|2|0|0|0|0|0
2024-02-14 00:00:00|6|6|0|0|0|0|2|0|0|0|0|0
2024-02-14 00:00:00|8|1|1|0|0|1|4|0|1|0|0|0
2024-02-14 00:00:00|10|1|0|0|0|0|2|0|4|0|1|0
2024-02-23 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-23 00:00:00|4|7|0|0|1|0|0|0|0|0|0|0
2024-02-23 00:00:00|6|1|0|0|0|0|4|0|0|1|2|0
2024-02-23 00:00:00|8|1|1|0|1|0|3|0|2|0|0|0
2024-02-23 00:00:00|10|0|1|0|2|2|1|2|0|0|0|0
2024-02-29 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-02-29 00:00:00|4|8|0|0|0|0|0|0|0|0|0|0
2024-02-29 00:00:00|6|5|0|0|0|1|2|0|0|0|0|0
2024-02-29 00:00:00|8|0|0|1|1|0|3|1|0|2|0|0
2024-02-29 00:00:00|10|3|1|1|0|0|0|1|0|2|0|0
2024-03-04 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-03-04 00:00:00|4|6|1|0|1|0|0|0|0|0|0|0
2024-03-04 00:00:00|6|3|3|0|0|1|1|0|0|0|0|0
2024-03-04 00:00:00|8|2|2|2|1|0|0|0|0|0|1|0
2024-03-04 00:00:00|10|1|0|2|1|0|0|3|1|0|0|0
2024-03-06 00:00:00|2|8|0|0|0|0|0|0|0|0|0|0
2024-03-06 00:00:00|4|7|0|0|1|0|0|0|0|0|0|0
2024-03-06 00:00:00|6|7|0|0|0|0|0|0|0|0|1|0
2024-03-06 00:00:00|8|3|0|0|1|0|2|1|1|0|0|0
2024-03-06 00:00:00|10|1|0|0|1|1|1|2|2|0|0|0
